Values[alpha].InitialValue	Values[delta].InitialValue	TaskList[Parameter Estimation].(Problem)Parameter Estimation.Best Value
0.0174353	0.15	3829.81
0.0174927	0.15	3829.66
0.0175503	0.15	3829.51
0.0176082	0.15	3829.36
0.0176662	0.15	3829.21
0.0177244	0.15	3829.05
0.0177828	0.15	3828.9
0.0178414	0.15	3828.74
0.0179002	0.15	3828.59
0.0179591	0.15	3828.43
0.0180183	0.15	3828.27
0.0180777	0.15	3828.11
0.0181372	0.15	3827.95
0.018197	0.15	3827.8
0.018257	0.15	3827.64
0.0183171	0.15	3827.48
0.0183775	0.15	3827.31
0.018438	0.15	3827.15
0.0184988	0.15	3826.99
0.0185597	0.15	3826.83
0.0186209	0.15	3826.66
0.0186822	0.15	3826.5
0.0187438	0.15	3826.33
0.0188055	0.15	3826.17
0.0188675	0.15	3826
0.0189297	0.15	3825.83
0.018992	0.15	3825.66
0.0190546	0.15	3825.5
0.0191174	0.15	3825.33
0.0191804	0.15	3825.16
0.0192436	0.15	3824.99
0.019307	0.15	3824.81
0.0193706	0.15	3824.64
0.0194344	0.15	3824.47
0.0194984	0.15	3824.3
0.0195627	0.15	3824.12
